corrida,factor_contagio,factor_mutacion,N,I&S,I&E,Muertos,S,CostoEAcumulado,CostoEFinal,CostoMuerte,CostoTotal
1,0.9,0.1,8249,6186,2063,9751,0,20982.19999999991,1877.3300000000002,10726.1,33585.62999999991
2,0.9,0.1,8257,6132,2125,9743,0,20957.000000000106,1933.75,10717.300000000001,33608.050000000105
3,0.9,0.1,8217,6118,2099,9783,0,20995.79999999986,1910.0900000000001,10761.300000000001,33667.189999999864
4,0.9,0.1,8320,6169,2151,9680,0,20866.800000000112,1957.41,10648.0,33472.21000000011
5,0.9,0.1,8270,6152,2118,9730,0,20999.500000000073,1927.38,10703.0,33629.88000000008
6,0.9,0.1,8269,6205,2064,9731,0,20882.600000000046,1878.24,10704.1,33464.940000000046
7,0.9,0.1,8123,5985,2138,9877,0,21165.200000000037,1945.5800000000002,10864.7,33975.48000000004
8,0.9,0.1,8158,6094,2064,9842,0,20972.8000000001,1878.24,10826.2,33677.24000000011
9,0.9,0.1,8112,6084,2028,9888,0,21046.700000000055,1845.48,10876.800000000001,33768.980000000054
10,0.9,0.1,8208,6149,2059,9792,0,20983.80000000023,1873.69,10771.2,33628.69000000023
11,0.9,0.1,8254,6192,2062,9746,0,21024.200000000095,1876.42,10720.6,33621.220000000096
12,0.9,0.1,8298,6177,2121,9702,0,20954.700000000194,1930.1100000000001,10672.2,33557.0100000002
13,0.9,0.1,8162,6090,2072,9838,0,20939.500000000284,1885.52,10821.800000000001,33646.82000000028
14,0.9,0.1,8249,6173,2076,9751,0,20965.499999999985,1889.16,10726.1,33580.75999999999
15,0.9,0.1,8114,6047,2067,9886,0,21052.40000000021,1880.97,10874.6,33807.97000000021
16,0.9,0.1,8186,6112,2074,9814,0,21129.79999999992,1887.3400000000001,10795.400000000001,33812.53999999992
17,0.9,0.1,8209,6196,2013,9791,0,20997.000000000065,1831.8300000000002,10770.1,33598.930000000066
18,0.9,0.1,8308,6224,2084,9692,0,20947.899999999863,1896.44,10661.2,33505.53999999986
19,0.9,0.1,8284,6169,2115,9716,0,21005.60000000018,1924.65,10687.6,33617.85000000018
20,0.9,0.1,8256,6177,2079,9744,0,21012.299999999937,1891.89,10718.400000000001,33622.58999999994
21,0.9,0.1,8168,6023,2145,9832,0,20964.4000000001,1951.95,10815.2,33731.550000000105
22,0.9,0.1,8231,6132,2099,9769,0,20938.100000000086,1910.0900000000001,10745.900000000001,33594.090000000084
23,0.9,0.1,8184,6140,2044,9816,0,20955.900000000067,1860.04,10797.6,33613.540000000066
24,0.9,0.1,8245,6201,2044,9755,0,20945.800000000283,1860.04,10730.5,33536.34000000029
25,0.9,0.1,8237,6090,2147,9763,0,21044.300000000178,1953.77,10739.300000000001,33737.37000000018
